Clone,MFU IgG Bind,MFU Display,Uninduced Yeast IgG MFU,Uninduced Yeast Display MFU
wt,23000,3700,50,350
mut10,23000,3300,50,390
enlA - neg cont,150,3600,50,410
25,30000,3600,50,430
26,33000,3900,50,400
27,30000,3500,50,430
28,59000,3900,50,410
29,72000,5400,50,450
30,700,670,65,350
31,700,2900,50,510
32,5500,1200,50,490
33,1100,780,50,410
34,1800,650,50,420
35*,120*,3400*,60,510
36,310,8600,60,610
37,180,5700,60,630
38,270,6900,60,610
39,210,6300,60,670
40,190,5400,60,710
41,240,6500,60,590
42,310,7900,60,770
43,150,3600,60,750
44,160,5000,60,660
blank unlabled yeast,20,510,,